id,name,operator
7964848,491 (2),Unknown Operator
7964849,067 (2),Delhi Transport Corporation
7964850,043 (2),Delhi Transport Corporation
7964851,541 (2),Delhi Transport Corporation
7964852,540: Kendriya Terminal -> Tara Apartment,Unknown Operator
7964853,514 (2),Delhi Transport Corporation
7964854,491 (1),Delhi Transport Corporation
7964855,481 (1),Unknown Operator
7964856,427: Mehrauli Terminal -> Nizamuddin Railway Station,Unknown Operator
7964857,417 (2),Delhi Transport Corporation
7965739,440: New Delhi Railway Station Gate Number 2 -> Ambedkar Nagar Terminal,Unknown Operator
7965741,554A: => Rama Krishna Puram Sector 1,Unknown Operator
7965742,774: Badarpur Border -> Dwarka Sector 10 Metro Station,Unknown Operator
7965743,567A: => Mubarakpur Dabas,Delhi Transport Corporation
7965744,874: Badarpur Border -> Uttam Nagar Terminal,Unknown Operator
7965745,529 (2),Unknown Operator
7965746,375 (2),Unknown Operator
7965747,374: Nehru Place Terminal => Nand Nagri Terminal,Unknown Operator
7965748,442: Nehru Place => Azadpur Metro Station,Unknown Operator
7965749,449 (2),Unknown Operator
7965750,447 (2),Unknown Operator
7965751,445: Hamdard Nagar Terminal -> New Delhi Railway Station,Unknown Operator
7965752,440: Ambedkar Nagar Terminal -> New Delhi Railway Station Gate Number 2,Unknown Operator
7965753,435 (2),Unknown Operator
7965754,425: Hamdard Nagar -> Old Delhi Railway Station,Unknown Operator
8011647,765 (2),Delhi Transport Corporation
8011648,615B,Delhi Transport Corporation
8011649,615A,Delhi Transport Corporation
8011650,507EXT (2),Delhi Transport Corporation
8011651,448B (2),Delhi Transport Corporation
8011652,448A: Hamdard Nagar -> Punjabi Bagh Terminal,Delhi Transport Corporation
8011653,764EXT: => Najafgarh Sai Baba Mandir,Delhi Transport Corporation
8011654,629: -> Vasant Vihar CPWD Colony,Unknown Operator
8011655,623B: => Vasant Vihar CPWD Colony,Unknown Operator
8011656,615: Minto Road → Poorvanchal Hostel,Delhi Transport Corporation
8013622,051 (1),Delhi Transport Corporation
8013623,618 (1),Delhi Transport Corporation
8013624,615: Poorvanchal Hostel → Minto Road,Delhi Transport Corporation
8013625,546 (2),Unknown Operator
8013626,538 (1),Unknown Operator
8014347,522A: Hamdard Nagar → Indrapuri,Unknown Operator
8014348,548: Hamdard Nagar Terminal -> Minto Road Terminal,Delhi Transport Corporation
8014349,Gurgaon-Noida (1),Unknown Operator
8014350,BPG: Gurgaon -> Badarpur,Unknown Operator
8014351,717A: Kapashera Border -> Badarpur Border,Unknown Operator
8014352,717: Shahbad Mohammadpur -> Badarpur Border,Unknown Operator
8014353,714 (1),Unknown Operator
8014354,525 (1),Unknown Operator
8014355,463: Mehrauli Terminal -> Kalkaji Depot,Unknown Operator
8014356,34EXT,Unknown Operator
8014357,34: Mehrauli -> Noida Sector 37,Unknown Operator
8028855,448: Hamdard Nagar -> Punjabi Bagh Terminal,Delhi Transport Corporation
8034706,894A (1),Unknown Operator
8034707,459 (1),Unknown Operator
8034708,99 (1),Unknown Operator
8034709,504 (1),Unknown Operator
8034710,458 (1),Unknown Operator
8034711,457 (1),Unknown Operator
8034712,454 (1),Unknown Operator
8034713,453 (1),Unknown Operator
8034714,447 (1),Unknown Operator
8034715,438 (1),Unknown Operator
8034716,436 (1),Unknown Operator
8034717,429: Old Delhi Railway Station -> DDA Flats Kalkaji,Unknown Operator
8034718,426 (1),Unknown Operator
8034720,409 (1),Unknown Operator
8034721,405: Old Delhi Railway Station → Badarpur Border,Unknown Operator
8034722,403: Old Delhi Railway Station → Okhla Extension,Unknown Operator
8034723,402: ? → Okhla Extension,Unknown Operator
8034724,274 (1),Unknown Operator
8034725,101 (1),Unknown Operator
8034726,94 (1),Unknown Operator
8034727,482 (1),Unknown Operator
8034728,449 (1),Unknown Operator
8034729,424 (1),Unknown Operator
8034730,446 (1),Unknown Operator
8034731,462 (1),Unknown Operator
8035117,429: DDA Flats Kalkaji -> Old Delhi Railway Station,Unknown Operator
8035118,418A: Badarpur Border -> Shahadra Terminal,Delhi Transit
8035119,405: Badarpur Border → Old Delhi Railway Station,Unknown Operator
8035120,457STL: => Sunehri Pula Depot,Unknown Operator
8035121,405A: Old Delhi Railway Station → Badarpur Border,Unknown Operator
8035122,405STL: => Sunehri Pula Depot,Unknown Operator
8050584,410: Khyala JJ Colony -> Jal Vihar Terminal,Unknown Operator
8050585,47A: Central Workshop 2 -> Indrapuri,Unknown Operator
8050586,375: => Nehru Place,Unknown Operator
8050587,433STL: => Seva Nagar Crossing,Unknown Operator
8050588,623A: => Anand Vihar ISBT,Unknown Operator
8050589,522A: Indrapuri => Hamdard Nagar,Unknown Operator
8055717,990E: => Shivaji Stadium,Unknown Operator
8055718,894: Karampura -> Okhla,Unknown Operator
8055719,894: Okhla -> Karampura,Unknown Operator
8061931,525EX: =>Mehrauli Terminal,Unknown Operator
8061932,34A: Mayur Vihar 3 → Lado Sarai,Unknown Operator
8062453,(+) Outer Mudrika Service: Uttam Nagar Terminal,Unknown Operator
8062454,717A: Badarpur Border -> Kapashera Border,Unknown Operator
8063463,442: Azadpur Metro Station => Nehru Place,Unknown Operator
8067300,970: Avantika -> Jawaharlal Nehru Stadium,Unknown Operator
8073980,578: Safdarjung Terminal → Najafgarh,Unknown Operator
8073981,336 (2),Delhi Transport Corporation
8073982,774: Dwarka Sector 10 Metro Station => Badarpur Border,Unknown Operator
8077071,445A: New Delhi Railway Station Gate Number 2 -> Hamdard Nagar,Unknown Operator
8079874,724: Uttam Nagar Terminal => Nehru Place Terminal,Unknown Operator
8082254,(-) Outer Mudrika Service: Uttam Nagar Terminal,Unknown Operator
8092549,743: Dwarka Sector 21 Metro Station -> Lajpat Nagar,Unknown Operator
8092550,743: Lajpat Nagar -> Dwarka Sector 21 Metro Station,Unknown Operator
8123124,210: => Kendriya Terminal,Unknown Operator
8123125,419Extra,Unknown Operator
8123126,717B: IGI Airport T-2 -> Badarpur Border,Unknown Operator
8123127,493: Mehrauli -> Mayur Vihar Phase 3,Unknown Operator
8126650,740B: ? -> Bindapur Terminal,Unknown Operator
8126651,391: Kalyanpuri -> Kendriya Terminal,Unknown Operator
8126652,355: => Anand Parvat,Unknown Operator
8126653,405A: Badarpur Border → Old Delhi Railway Station,Unknown Operator
8135254,502: Mehrauli Terminal -> Old Delhi Railway Station,Unknown Operator
8188441,34A: Lado Sarai → Mayur Vihar 3,Unknown Operator
8188442,717B: Badarpur Border -> IGI Airport T-2,Unknown Operator
8189779,469: Anand Vihar ISBT -> Ambedkar Nagar Terminal,Unknown Operator
8195973,460: Badarpur Border -> Minto Road Terminal,Unknown Operator
8195974,605: Safdarjung Hospital => Vasant Kunj C-9,Unknown Operator
8197603,729B: => Airport T-3,Unknown Operator
8197604,185: => Kendriya Terminal,Unknown Operator
8197605,181A: Jahangirpuri E-Block -> Nizamuddin Railway Station,Delhi Transport Corporation
8197606,RL-77B: => Madhu Vihar,Unknown Operator
8202257,781: Dwarka Sector 16C => New Delhi Railway Station Gate Number 2,Unknown Operator
8202258,780: Indira Gandhi International Airport T2 => New Delhi Railway Station Gate Number 2,Unknown Operator
8202259,181A: Nizamuddin Railway Station -> Jahangirpuri E-Block,Delhi Transport Corporation
8206274,543B: IGI Airport -> Anand Vihar ISBT,Delhi Transport Corporation
8208910,803: => Madhu Vihar,Unknown Operator
8208911,440A: => Minto Road,Unknown Operator
8208912,310: Jheel Terminal -> Indrapuri (Krishi Kunj),Unknown Operator
8221531,8: Noida Sector 32 => Badarpur Border,Unknown Operator
8221532,8: Badarpur Border => Noida Sector 32,Unknown Operator
8222917,944: Sultanpuri => Kendriya Terminal,Unknown Operator
8222918,944: Kendriya Terminal => Sultanpuri,Unknown Operator
8222919,810: Kendriya Terminal => Uttam Nagar,Unknown Operator
8222920,810: Uttam Nagar => Kendriya Terminal,Unknown Operator
8222921,390: Mayur Vihar Phase 3 => Kendriya Terminal,Unknown Operator
8229055,Gurgaon → Anand Vihar ISBT,Unknown Operator
8234263,344: ? -> Kalyanpuri,Delhi Transport Corporation
8235171,624A: Munirka -> Anand Vihar ISBT,Unknown Operator
8238140,770: => Delhi Secretariat,Unknown Operator
8238141,349: Mayur Vihar Phase 2 -> Kendriya Terminal,Unknown Operator
8238142,378: Mayur Vihar Phase 3 -> Kendriya Terminal,Unknown Operator
8238143,403: Okhla Extension → Old Delhi Railway Station,Unknown Operator
8250861,874: Uttam Nagar Terminal -> Badarpur Border,Unknown Operator
8250862,392: Dhaula Kuan → Noida Sector 62,Unknown Operator
8250863,Anand Vihar ISBT → Gurgaon,Unknown Operator
8250864,724Extra: => Uttam Nagar,Delhi Transport Corporation
8250865,984: -> Avantika,Delhi Transport Corporation
8250866,588: => Uttam Nagar,Delhi Transport Corporation
8250867,569: => Sultanpuri,Delhi Transport Corporation
8250868,543A: Anand Vihar ISBT -> Kapashera Border,Delhi Transport Corporation
8253430,492: Nehru Place -> Noida Sector 62,Unknown Operator
8253431,576A: => Mubarakpur,Delhi Transport Corporation
8255865,966: Nizamuddin Railway Station => Nangloi,Delhi Transport Corporation
8255866,794: Nizamuddin Railway Station -> Manglapuri,Delhi Transport Corporation
8255867,966: Nangloi => Nizamuddin Railway Station,Delhi Transport Corporation
8255868,794: Manglapuri -> Nizamuddin Railway Station,Delhi Transport Corporation
8264758,764: Najafgarh Sai Baba Mandir → Nehru Place,Delhi Transport Corporation
8267620,429STL: => Seva Nagar Crossing,Unknown Operator
8267621,479STL: => Seva Nagar Crossing,Unknown Operator
8267622,8A: ? -> Nehru Place,Unknown Operator
8267623,236: Anand Vihar ISBT -> Nangloi JJ Colony,Delhi Transport Corporation
8286645,473: Anand Vihar ISBT -> Badarpur Border,Unknown Operator
8286646,473: Badarpur Border -> Anand Vihar ISBT,Unknown Operator
8321465,BPG: Badarpur -> Gurgaon,Unknown Operator
8406346,479A: Badarpur Border -> Wazirpur,Unknown Operator
8406347,422: Badarpur Border => Kashmere Gate ISBT,Unknown Operator
8406348,F-403A: Nehru Place -> Badarpur Border,Unknown Operator
8406758,540A: Tara Apartment -> Safdarjung Terminal,Unknown Operator
8413553,DS-3: => Dwarka Sector 19 Pocket 2,Unknown Operator
8414534,F-839A: Kapashera Border -> Uttam Nagar,Unknown Operator
8414535,F-839A: Uttam Nagar -> Kapashera Border,Unknown Operator
8414536,F-701: Dhaula Kuan -> Kapashera Border,Unknown Operator
8414537,F-701: Kapashera Border -> Dhaula Kuan,Unknown Operator
8414538,718: Uttam Nagar Terminal => Kapashera Border,Unknown Operator
8414539,718: Kapashera Border => Uttam Nagar Terminal,Unknown Operator
8414540,850: Kendriya Terminal => Najafgarh Sai Baba Mandir,Delhi Transport Corporation
8414541,850: Najafgarh Sai Baba Mandir => Kendriya Terminal,Delhi Transport Corporation
