id,name,latitude,longitude
5492019886,Mehrauli Terminal,28.521472,77.1832211
5492019887,Mehrauli Terminal,28.5215934,77.1832573
5493861634,Rama Krishna Puram Sector 1,28.5643506,77.179799
5493861635,Nauroji Nagar,28.5696537,77.1954363
5493861636,Safdarjung Hospital,28.5697615,77.2044155
5495470043,Rama Krishna Puram Sector 13,28.5713572,77.1817687
5498958699,Tughlak Crescent,28.5949927,77.2119663
5498959374,South Extension,28.5687213,77.2167545
5511369034,Kalkaji Temple,28.5521924,77.264507
5511370166,Okhla Sabzi Mandi,28.5582467,77.2628428
5517950126,Chhattarpur Village,28.500486,77.1836321
5534241883,Ramprastha Mandir,28.662793,77.320163
5537493892,"Mother Dairy, Kishangarh",28.5267881,77.1619165
5537493893,"Mother Dairy, Kishangarh",28.5266458,77.1618168
5541681984,Gargi College,28.5554685,77.2191432
5541682306,Khel Gaon,28.5502342,77.2103861
5541682307,Shiv Mandir,28.5654449,77.2245154
5541755268,Unnamed Stop,28.5837986,77.2122896
5541755269,Kidwai Nagar,28.5756843,77.2096932
5543580373,Siri Fort Crossing,28.5543251,77.2269961
5543583026,Gargi College,28.5557258,77.2178432
5545510715,Sena Bhawan,28.6080817,77.2066703
5545512461,DDA Flats Lado Sarai,28.5300436,77.1920506
5545512462,Teen Murti,28.6056148,77.1990695
5545512792,Katwaria Sarai,28.540441,77.1855428
5559196931,Unnamed Stop,28.5065658,77.1751682
5561733887,Satya Niketan,28.5878113,77.1702793
5561733888,Okhla Tank,28.5480079,77.2765325
5561733908,Badarpur Power House,28.506991,77.3004732
5561733910,Rajiv Gandhi Stadium,28.499214,77.2990768
5561733911,M.B. Road,28.5054709,77.2764802
5561733913,Khanpur Extension,28.5136487,77.2348944
5561733972,Raj Nagar,28.5695607,77.2013924
5561733974,Ali Village,28.5160804,77.296615
5561733976,Prahladpur,28.5005973,77.2937648
5561733977,Kaya Maya Hospital,28.5078293,77.2692282
5561733978,Sangam Vihar,28.5118635,77.249681
5561734256,Maruti Factory,28.5220248,77.2934855
5561734257,Onida Factory,28.5132736,77.2977796
5561734258,Badarpur,28.5019998,77.3000338
5561734259,Badarpur Terminal,28.4914716,77.3037217
5561734261,Tuglakabad,28.5089676,77.2652186
5561734262,Sangam Vihar,28.5122579,77.2487138
5561734263,Batra Hospital,28.5121489,77.2434016
5567166100,Shahjahan Road UPSC,28.6083251,77.2279781
5567166101,Unnamed Stop,28.5933994,77.2147799
5567166103,AIIMS,28.5670638,77.2080031
5567166775,Tilak Bridge,28.6241247,77.2393748
5567166776,Prithviraj Road,28.5964593,77.2177132
5567166785,Yusuf Sarai,28.562743,77.2077152
5567166786,IIT Gate,28.5429388,77.2007428
5567166787,Qutub Minar,28.5264425,77.1866804
5567166788,Mehrauli Terminal,28.5216486,77.1830075
5567166876,Patiala House,28.6163362,77.2338873
